sid	gpa	pid
G1137006D	3.7	BSIS
G1220181E	3.2	BBM
G1221017S	3.0	BSEcons
G1386690Z	3.5	BSS
G1463742N	3.4	BSEcons
G1510855W	3.1	BSS
G1614836Y	3.7	BSS
G1628054E	3.4	BSIS
G1962791I	3.3	BSEcons
G2211824R	3.8	BBM
G2240626U	3.9	BSIS
G2325249V	3.4	BSEcons
G2419909N	3.0	BSEcons
G2429186Y	3.2	BSIS
G2503868U	3.2	BBM
G2562108P	3.8	BSIS
G2610717H	3.5	BSIS
G2783985B	3.2	BSIS
G2988343B	3.0	BSS
G3097851X	3.4	BBM
G3207118A	3.8	BBM
G3261009U	3.9	BSIS
G3784403G	3.2	BAcc
G3809854U	3.9	BBM
G4306019F	3.7	BBM
G4412975F	3.0	BBM
G4496276I	3.8	BAcc
G4520929J	3.9	BSS
G4836182X	3.5	BSEcons
G4976926J	3.3	BBM
G4983445C	4.0	BSEcons
G5072658T	3.3	BBM
G5119957K	3.0	BSS
G5205470L	3.0	BBM
G5244327C	3.6	BAcc
G5355873J	3.2	BSS
G5509856W	3.2	BSS
G5537802C	3.0	BBM
G5596379X	3.0	BSEcons
G5601595Z	3.2	BBM
G5674435N	3.9	BBM
G5799259P	3.3	BAcc
G5964233I	3.8	BSS
G5995568X	3.8	BBM
G6125141S	3.7	BBM
G6195163L	3.2	BL
G6244526S	3.5	BSEcons
G6249098V	3.4	BBM
G6357152H	3.5	BL
G6471597T	3.6	BBM
G6478891Q	3.4	BBM
G6484747I	3.7	BSS
G6512590L	3.0	BBM
G6520352T	3.8	BBM
G7070532I	3.4	BSEcons
G7268886D	4.0	BSS
G7320815O	3.7	BSIS
G7359118X	3.5	BBM
G7391211D	3.1	BBM
G7567908Q	3.0	BBM
G7722809L	3.0	BBM
G7786106N	3.6	BSS
G7835950J	3.5	BSEcons
G7888279X	3.3	BSS
G7953899F	3.0	BSS
G7981261C	3.4	BSIS
G8001077L	3.0	BSS
G8180893W	3.6	BSEcons
G8270127R	3.6	BL
G8360571P	3.7	BSEcons
G8378067Q	3.0	BSIS
G8389223G	3.9	BAcc
G8417341R	3.2	BBM
G8423416T	3.3	BSS
G8457555Y	3.6	BAcc
G8477050C	3.7	BBM
G8659372Q	3.8	BBM
G8691993K	3.9	BBM
G8895116J	3.4	BL
G8929182Q	3.7	BSEcons
G8969885B	3.8	BBM
G9234733E	3.9	BBM
G9238433Q	3.2	BSS
G9314572Q	3.1	BSEcons
G9425750X	3.7	BBM
G9539377R	3.4	BBM
G9539996F	3.7	BSEcons
G9557499X	3.0	BBM
G9735346F	3.4	BBM
G9842104J	3.7	BBM
S1390969K	3.5	BSIS
S1467134N	3.8	BBM
S1546609H	3.6	BSS
S1614885E	3.8	BSS
S1737549J	3.6	BBM
S1795188Y	3.0	BSS
S1819391M	3.6	BSS
S1896115P	3.0	BSIS
S1944091I	3.3	BBM
S1960652N	3.4	BBM
S2057420T	3.1	BL
S2142603K	3.6	BL
S2159167J	3.4	BL
S2172950D	3.3	BBM
S2187621G	4.0	BBM
S2223723J	3.5	BBM
S2254037C	3.5	BSS
S2304139R	3.0	BSS
S2734678X	3.6	BAcc
S2879175E	3.4	BL
S3006347U	3.5	BSEcons
S3257726R	3.1	BBM
S3579007B	3.0	BSIS
S3677879U	3.1	BSEcons
S3683638B	3.7	BSS
S3772133W	3.5	BSEcons
S4003648N	3.6	BBM
S4061579Z	3.2	BBM
S4076071F	3.1	BBM
S4083476L	3.3	BAcc
S4285563K	3.3	BBM
S4302873A	3.9	BSS
S4319479Q	3.5	BSS
S4478795A	3.3	BBM
S4581547X	3.2	BBM
S4762279V	3.8	BSEcons
S5097653C	3.3	BSS
S5103997Q	3.1	BSS
S5145550L	3.9	BBM
S5156416H	3.1	BAcc
S5175075G	3.3	BBM
S5237478I	3.8	BSIS
S5287815D	3.4	BBM
S5477437K	3.0	BSIS
S5657324L	3.2	BSS
S5886592Y	3.4	BSEcons
S5980235F	3.5	BBM
S5992895V	3.9	BBM
S6102401N	3.5	BBM
S6129683O	3.5	BSS
S6159408C	3.9	BAcc
S6235229H	3.6	BSEcons
S6263822N	3.1	BBM
S6355991D	3.1	BSS
S6372259K	3.4	BSS
S6372376C	3.6	BBM
S6402487F	3.5	BL
S6677292K	3.9	BBM
S6722777A	3.3	BSIS
S6940925Y	3.6	BBM
S6994365C	3.6	BSIS
S7118637Y	4.0	BBM
S7209368J	3.8	BSS
S7226605E	3.1	BBM
S7251720D	3.8	BSEcons
S7350403S	3.1	BSS
S7363606X	3.0	BSEcons
S7405784Z	4.0	BAcc
S7414127W	3.3	BBM
S7503906F	3.6	BSS
S7723092G	3.3	BSS
S7736624D	3.5	BBM
S7775489G	3.3	BSEcons
S7904420H	3.8	BSS
S7908362Q	3.2	BBM
S8276899A	3.6	BBM
S8311184T	3.5	BSEcons
S8320553I	3.3	BAcc
S8338416X	4.0	BAcc
S8450770F	3.4	BSS
S8567509F	3.2	BSS
S8773487I	3.8	BSEcons
S8928772L	3.3	BBM
S9017570X	3.0	BL
S9048648M	3.2	BSEcons
S9304914L	3.7	BBM
S9367636B	3.6	BBM
S9512019B	3.1	BSEcons
S9519676X	3.9	BSEcons
S9752518H	3.6	BSS
S9915700E	3.5	BSEcons
S9925521J	3.8	BBM
S9965813Z	3.3	BSIS
G4603632Q	3.6	BSIS
S1155511K	3.5	BSIS
S9178867R	3.3	BSIS
S9077885U	3.4	BBM
S9065467H	3.5	BBM
S9556677G	3.4	BBM
S8356989D	3.5	BBM
