sid	sch_name	date_declared
G6538345N	School of Law	2015-02-15 0:00:00
G3259194S	School of Law	2016-05-16 0:00:00
G2833242X	School of Law	2017-01-07 0:00:00
S4172182L	School of Law	2016-04-15 0:00:00
G2343328I	School of Law	2016-01-03 0:00:00
S6144774G	School of Law	2015-04-04 0:00:00
S2396544Q	School of Law	2018-05-08 0:00:00
S7795800L	School of Law	2015-05-27 0:00:00
G3159184K	School of Law	2015-04-20 0:00:00
S4969489L	School of Law	2017-04-10 0:00:00
G6426070Y	School of Accountancy	2016-03-25 0:00:00
S4750609W	School of Accountancy	2016-05-16 0:00:00
S2922540Q	School of Accountancy	2018-02-10 0:00:00
G6114178Q	School of Accountancy	2016-03-02 0:00:00
G9702766L	School of Accountancy	2015-03-23 0:00:00
S8380807S	School of Accountancy	2016-01-27 0:00:00
G1286472C	School of Accountancy	2017-05-11 0:00:00
S5642922S	School of Accountancy	2016-04-06 0:00:00
G4938111H	School of Accountancy	2016-01-14 0:00:00
G9835849V	School of Accountancy	2016-05-13 0:00:00
G3168532J	School of Accountancy	2016-03-24 0:00:00
G4699673D	School of Accountancy	2015-01-01 0:00:00
G6592376K	School of Accountancy	2016-03-20 0:00:00
G3010943F	School of Economics	2015-02-23 0:00:00
S8289625E	School of Economics	2015-03-17 0:00:00
G3790687V	School of Economics	2017-01-17 0:00:00
G8126505R	School of Economics	2017-04-23 0:00:00
S2715297F	School of Economics	2017-04-20 0:00:00
S5344542H	School of Economics	2018-03-17 0:00:00
S7259169X	School of Economics	2016-01-20 0:00:00
G9871356D	School of Economics	2017-05-12 0:00:00
S7829305T	School of Economics	2016-01-19 0:00:00
S3067906R	School of Economics	2016-03-26 0:00:00
S6390340P	School of Economics	2015-05-08 0:00:00
S8200026G	School of Economics	2015-02-04 0:00:00
S1369181L	School of Economics	2016-01-07 0:00:00
S2384155R	School of Economics	2017-02-18 0:00:00
G3385943F	School of Economics	2016-01-06 0:00:00
S8870419F	School of Economics	2016-04-20 0:00:00
S8294060P	School of Economics	2016-03-21 0:00:00
G3935262C	School of Economics	2017-02-08 0:00:00
G7812050O	Lee Kong Chian School of Business	2016-05-23 0:00:00
G5135710U	Lee Kong Chian School of Business	2018-05-01 0:00:00
G5759261J	Lee Kong Chian School of Business	2018-03-12 0:00:00
S9202642T	Lee Kong Chian School of Business	2015-04-10 0:00:00
S5584247G	Lee Kong Chian School of Business	2018-01-15 0:00:00
G9243459H	Lee Kong Chian School of Business	2016-01-02 0:00:00
G7795556W	Lee Kong Chian School of Business	2017-02-07 0:00:00
S9152606R	Lee Kong Chian School of Business	2015-01-26 0:00:00
