sid	stu_name	email	init_edollars	type	pid
S1510159Z	Latisha Jeffery	latisha.2016@smu.edu.sg	75.57		BSIS
G9307332Z	Kuba Thatcher	kuba.2017@smu.edu.sg	75.59	SM	BSEcons
S9209376H	Ceara Huang	ceara.2016@smu.edu.sg	76.06	SM	BSEcons
S2361403M	Laiba Britt	laiba.2016@smu.edu.sg	76.08		BAcc
G4976926J	Stewart Fritz	stewart.2015@smu.edu.sg	76.63	DD	BSEcons
S2118991K	Efe Tierney	efe.2017@smu.edu.sg	77.04		BAcc
G1860566A	Aleeza Vinson	aleeza.2017@smu.edu.sg	77.05	SM	BAcc
G5601595Z	Azra Ritter	azra.2014@smu.edu.sg	77.48	DD	BSIS
G5950964O	Oskar Drummond	oskar.2014@smu.edu.sg	77.53		BSIS
G9216788E	Gillian Hurst	gillian.2016@smu.edu.sg	77.8		BL
S2142603K	Alysia Clegg	alysia.2015@smu.edu.sg	160.53	DD	BAcc
G5244327C	Colette Harding	colette.2016@smu.edu.sg	78.19	DD	BL
G9871356D	Reon Calvert	reon.2016@smu.edu.sg	78.2	SM	BSIS
G8948586X	Owen Wilcox	owen.2014@smu.edu.sg	78.24		BBM
G7268886D	Coen Rowley	coen.2016@smu.edu.sg	78.35	DD	BSEcons
S9217738X	Winston Wyatt	winston.2014@smu.edu.sg	78.84		BSS
S4276365M	Orson Gould	orson.2015@smu.edu.sg	79.16		BBM
G8799261X	Hope Houston	hope.2014@smu.edu.sg	79.18		BL
S9020029D	Autumn Childs	autumn.2015@smu.edu.sg	79.82	SM	BSEcons
G2556117Y	Amelia-Grace Walsh	amelia-grace.2014@smu.edu.sg	80.18		BSIS
G1621727O	Conna Roth	conna.2017@smu.edu.sg	80.28	SM	BSS
G4412975F	Danniella Henry	danniella.2014@smu.edu.sg	80.79	DD	BAcc
G8222765V	Lola-Mae Mccallum	lola-mae.2016@smu.edu.sg	80.8	SM	BL
S4040248S	Emillie Baldwin	emillie.2016@smu.edu.sg	81.06		BSEcons
G3677894F	Brook Valenzuela	brook.2017@smu.edu.sg	81.1		BSS
G8842873W	Jade Freeman	jade.2014@smu.edu.sg	81.13		BL
G3741480J	Zena Huffman	zena.2016@smu.edu.sg	81.32	SM	BSS
S7184265N	Penelope Grainger	penelope.2015@smu.edu.sg	81.43	SM	BAcc
S1142695B	Alistair Gibson	alistair.2014@smu.edu.sg	81.58		BL
G3974478R	Samanta Browning	samanta.2016@smu.edu.sg	81.61		BL
S5931282T	Salahuddin Philip	salahuddin.2016@smu.edu.sg	81.66		BL
